"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_temp","pct_area_cond_secos","pct_area_cond_precip"
2025-01-01,2025-01-15,"Normal",87.5,0,12,0.4
2025-01-01,2025-01-15,"Alerta baja",12.5,0,12,0.4
2025-01-16,2025-01-30,"Normal",78.6,0,0,21.4
2025-01-16,2025-01-30,"Alerta baja",21.4,0,0,21.4
2025-01-31,2025-02-14,"Normal",28.5,0,27.8,71.5
2025-01-31,2025-02-14,"Alerta baja",43.7,0,27.8,71.5
2025-01-31,2025-02-14,"Alerta media",27.8,0,27.8,71.5
2025-02-15,2025-03-01,"Normal",100,0,0,0
2025-03-02,2025-03-16,"Normal",100,0,0,0
2025-03-17,2025-03-31,"Normal",41.6,0,51.3,52.6
2025-03-17,2025-03-31,"Alerta baja",12.9,0,51.3,52.6
2025-03-17,2025-03-31,"Alerta media",45.5,0,51.3,52.6
2025-04-01,2025-04-15,"Normal",32.5,0,46.4,60.7
2025-04-01,2025-04-15,"Alerta baja",27.9,0,46.4,60.7
2025-04-01,2025-04-15,"Alerta media",39.6,0,46.4,60.7
2025-04-16,2025-04-30,"Normal",50.8,0,20.7,49.2
2025-04-16,2025-04-30,"Alerta baja",28.5,0,20.7,49.2
2025-04-16,2025-04-30,"Alerta media",20.7,0,20.7,49.2
2025-05-01,2025-05-15,"Normal",13.1,0,77.3,80.3
2025-05-01,2025-05-15,"Alerta baja",16.1,0,77.3,80.3
2025-05-01,2025-05-15,"Alerta media",70.7,0,77.3,80.3
2025-05-16,2025-05-30,"Normal",0.1,0,42.1,99.9
2025-05-16,2025-05-30,"Alerta baja",57.8,0,42.1,99.9
2025-05-16,2025-05-30,"Alerta media",42.1,0,42.1,99.9
2025-05-31,2025-06-14,"Alerta baja",15.4,0,84.6,100
2025-05-31,2025-06-14,"Alerta media",84.6,0,84.6,100
2025-06-15,2025-06-29,"Alerta baja",0.2,0,99.8,100
2025-06-15,2025-06-29,"Alerta media",99.8,0,99.8,100
2025-06-30,2025-07-14,"Alerta media",100,0,100,100
2025-07-15,2025-07-29,"Alerta baja",0.8,0,99.2,100
2025-07-15,2025-07-29,"Alerta media",99.2,0,99.2,100
2025-07-30,2025-08-13,"Alerta baja",9.3,0,90.7,100
2025-07-30,2025-08-13,"Alerta media",90.7,0,90.7,100
2025-08-14,2025-08-28,"Alerta baja",5.4,0,94.6,100
2025-08-14,2025-08-28,"Alerta media",94.6,0,94.6,100
2025-08-29,2025-09-12,"Normal",1.7,0,67.9,98.3
2025-08-29,2025-09-12,"Alerta baja",30.4,0,67.9,98.3
2025-08-29,2025-09-12,"Alerta media",67.9,0,67.9,98.3
2025-09-13,2025-09-27,"Normal",18.9,0,59.6,76.5
2025-09-13,2025-09-27,"Alerta baja",26.1,0,59.6,76.5
2025-09-13,2025-09-27,"Alerta media",55,0,59.6,76.5
2025-09-28,2025-10-12,"Normal",15.5,0,76.6,75.8
2025-09-28,2025-10-12,"Alerta baja",16.7,0,76.6,75.8
2025-09-28,2025-10-12,"Alerta media",67.9,0,76.6,75.8
2025-10-13,2025-10-27,"Normal",49.1,0,44.8,47.9
2025-10-13,2025-10-27,"Alerta baja",9.1,0,44.8,47.9
2025-10-13,2025-10-27,"Alerta media",41.8,0,44.8,47.9
2025-10-28,2025-11-11,"Normal",3.4,0,32.1,96.6
2025-10-28,2025-11-11,"Alerta baja",64.5,0,32.1,96.6
2025-10-28,2025-11-11,"Alerta media",32.1,0,32.1,96.6
2025-11-12,2025-11-26,"Normal",45.8,0,20.8,51.7
2025-11-12,2025-11-26,"Alerta baja",35.9,0,20.8,51.7
2025-11-12,2025-11-26,"Alerta media",18.3,0,20.8,51.7
2025-11-27,2025-12-11,"Normal",98.9,0,0,1.1
2025-11-27,2025-12-11,"Alerta baja",1.1,0,0,1.1
2025-12-12,2025-12-26,"Normal",92.4,0,0,7.6
2025-12-12,2025-12-26,"Alerta baja",7.6,0,0,7.6
2025-12-27,2025-12-31,"Normal",92,0,0,8
2025-12-27,2025-12-31,"Alerta baja",8,0,0,8
