"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr","pct_area_cond_precip"
2025-01-01,2025-01-10,"Normal",0.6,80.8,0.1,92.1
2025-01-01,2025-01-10,"Alerta baja",25.8,80.8,0.1,92.1
2025-01-01,2025-01-10,"Alerta media",73.6,80.8,0.1,92.1
2025-01-11,2025-01-20,"Normal",7.4,76.1,0,86.4
2025-01-11,2025-01-20,"Alerta baja",22.6,76.1,0,86.4
2025-01-11,2025-01-20,"Alerta media",69.9,76.1,0,86.4
2025-01-21,2025-01-30,"Normal",3.9,80.4,0,68.9
2025-01-21,2025-01-30,"Alerta baja",43,80.4,0,68.9
2025-01-21,2025-01-30,"Alerta media",53.1,80.4,0,68.9
2025-01-31,2025-02-09,"Normal",19.2,70.8,0,70.7
2025-01-31,2025-02-09,"Alerta baja",20.1,70.8,0,70.7
2025-01-31,2025-02-09,"Alerta media",60.7,70.8,0,70.7
2025-02-10,2025-02-19,"Normal",8.3,77.5,0.1,79.3
2025-02-10,2025-02-19,"Alerta baja",26.5,77.5,0.1,79.3
2025-02-10,2025-02-19,"Alerta media",65.2,77.5,0.1,79.3
2025-02-20,2025-03-01,"Normal",11.7,74.1,0,73.4
2025-02-20,2025-03-01,"Alerta baja",29,74.1,0,73.4
2025-02-20,2025-03-01,"Alerta media",59.2,74.1,0,73.4
2025-03-02,2025-03-11,"Normal",1.5,71.9,2.9,82.7
2025-03-02,2025-03-11,"Alerta baja",39.6,71.9,2.9,82.7
2025-03-02,2025-03-11,"Alerta media",58.6,71.9,2.9,82.7
2025-03-02,2025-03-11,"Alerta alta",0.2,71.9,2.9,82.7
2025-03-12,2025-03-21,"Normal",7,78.3,0,83.9
2025-03-12,2025-03-21,"Alerta baja",23.9,78.3,0,83.9
2025-03-12,2025-03-21,"Alerta media",69.2,78.3,0,83.9
2025-03-22,2025-03-31,"Normal",0.4,76.2,3,79.5
2025-03-22,2025-03-31,"Alerta baja",41,76.2,3,79.5
2025-03-22,2025-03-31,"Alerta media",58.1,76.2,3,79.5
2025-03-22,2025-03-31,"Alerta alta",0.5,76.2,3,79.5
2025-04-01,2025-04-10,"Normal",53.5,38.1,0,37.5
2025-04-01,2025-04-10,"Alerta baja",17.3,38.1,0,37.5
2025-04-01,2025-04-10,"Alerta media",29.2,38.1,0,37.5
2025-04-11,2025-04-20,"Normal",23.6,63.9,0.2,37.4
