"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_precip"
2025-01-01,2025-01-30,"Normal",17.4,82.6,0.4
2025-01-01,2025-01-30,"Alerta media",82.2,82.6,0.4
2025-01-01,2025-01-30,"Alerta alta",0.4,82.6,0.4
2025-01-31,2025-03-01,"Normal",14.6,83.8,5.2
2025-01-31,2025-03-01,"Alerta baja",1.6,83.8,5.2
2025-01-31,2025-03-01,"Alerta media",80.3,83.8,5.2
2025-01-31,2025-03-01,"Alerta alta",3.5,83.8,5.2
2025-03-02,2025-03-31,"Normal",18.7,81.3,0
2025-03-02,2025-03-31,"Alerta media",81.3,81.3,0
2025-04-01,2025-04-30,"Normal",18,78.3,6
2025-04-01,2025-04-30,"Alerta baja",3.7,78.3,6
2025-04-01,2025-04-30,"Alerta media",76,78.3,6
2025-04-01,2025-04-30,"Alerta alta",2.3,78.3,6
2025-05-01,2025-05-30,"Normal",10.3,76.5,29.6
2025-05-01,2025-05-30,"Alerta baja",13.2,76.5,29.6
2025-05-01,2025-05-30,"Alerta media",60.2,76.5,29.6
2025-05-01,2025-05-30,"Alerta alta",16.4,76.5,29.6
2025-05-31,2025-06-29,"Normal",31.3,63,47.8
2025-05-31,2025-06-29,"Alerta baja",5.7,63,47.8
2025-05-31,2025-06-29,"Alerta media",20.8,63,47.8
2025-05-31,2025-06-29,"Alerta alta",42.1,63,47.8
2025-06-30,2025-07-29,"Normal",32.2,63,31.5
2025-06-30,2025-07-29,"Alerta baja",4.8,63,31.5
2025-06-30,2025-07-29,"Alerta media",36.3,63,31.5
2025-06-30,2025-07-29,"Alerta alta",26.7,63,31.5
2025-07-30,2025-08-28,"Normal",16.7,69.5,48.5
2025-07-30,2025-08-28,"Alerta baja",13.8,69.5,48.5
2025-07-30,2025-08-28,"Alerta media",34.7,69.5,48.5
2025-07-30,2025-08-28,"Alerta alta",34.7,69.5,48.5
2025-08-29,2025-09-27,"Normal",9.5,79.8,59.4
2025-08-29,2025-09-27,"Alerta baja",10.6,79.8,59.4
2025-08-29,2025-09-27,"Alerta media",31.1,79.8,59.4
2025-08-29,2025-09-27,"Alerta alta",48.7,79.8,59.4
2025-09-28,2025-10-27,"Normal",18.5,80.1,4.9
2025-09-28,2025-10-27,"Alerta baja",1.4,80.1,4.9
2025-09-28,2025-10-27,"Alerta media",76.5,80.1,4.9
2025-09-28,2025-10-27,"Alerta alta",3.5,80.1,4.9
2025-10-28,2025-11-26,"Normal",18.7,79.2,3
2025-10-28,2025-11-26,"Alerta baja",2.2,79.2,3
2025-10-28,2025-11-26,"Alerta media",78.3,79.2,3
2025-10-28,2025-11-26,"Alerta alta",0.9,79.2,3
2025-11-27,2025-12-26,"Normal",17.1,82.4,0.8
2025-11-27,2025-12-26,"Alerta baja",0.5,82.4,0.8
2025-11-27,2025-12-26,"Alerta media",82.2,82.4,0.8
2025-11-27,2025-12-26,"Alerta alta",0.3,82.4,0.8
2025-12-27,2025-12-31,"Normal",10.3,81.7,45
2025-12-27,2025-12-31,"Alerta baja",8,81.7,45
2025-12-27,2025-12-31,"Alerta media",44.7,81.7,45
2025-12-27,2025-12-31,"Alerta alta",37,81.7,45
