"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr","pct_area_cond_lluvia"
2025-01-01,2025-01-10,"Normal",2.7,62.3,0.1,93.8
2025-01-01,2025-01-10,"Alerta baja",38.4,62.3,0.1,93.8
2025-01-01,2025-01-10,"Alerta media",58.8,62.3,0.1,93.8
2025-01-01,2025-01-10,"Alerta alta",0,62.3,0.1,93.8
2025-01-11,2025-01-20,"Normal",16.4,60.2,0,65
2025-01-11,2025-01-20,"Alerta baja",42,60.2,0,65
2025-01-11,2025-01-20,"Alerta media",41.6,60.2,0,65
2025-01-21,2025-01-30,"Normal",2.6,62.5,0,97.1
2025-01-21,2025-01-30,"Alerta baja",35.3,62.5,0,97.1
2025-01-21,2025-01-30,"Alerta media",62.2,62.5,0,97.1
2025-01-31,2025-02-09,"Normal",5.3,62.4,0,46
2025-01-31,2025-02-09,"Alerta baja",81.1,62.4,0,46
2025-01-31,2025-02-09,"Alerta media",13.7,62.4,0,46
2025-02-10,2025-02-19,"Normal",0,61.8,0.1,99.9
2025-02-10,2025-02-19,"Alerta baja",38.2,61.8,0.1,99.9
2025-02-10,2025-02-19,"Alerta media",61.7,61.8,0.1,99.9
2025-02-10,2025-02-19,"Alerta alta",0.1,61.8,0.1,99.9
2025-02-20,2025-03-01,"Normal",3.5,61.9,0,76.8
2025-02-20,2025-03-01,"Alerta baja",54.3,61.9,0,76.8
2025-02-20,2025-03-01,"Alerta media",42.2,61.9,0,76.8
2025-03-02,2025-03-11,"Normal",1.6,60.4,3,98.4
2025-03-02,2025-03-11,"Alerta baja",37.7,60.4,3,98.4
2025-03-02,2025-03-11,"Alerta media",57.9,60.4,3,98.4
2025-03-02,2025-03-11,"Alerta alta",2.7,60.4,3,98.4
2025-03-12,2025-03-21,"Normal",5,63.3,0.1,87.7
2025-03-12,2025-03-21,"Alerta baja",39.1,63.3,0.1,87.7
2025-03-12,2025-03-21,"Alerta media",55.9,63.3,0.1,87.7
2025-03-12,2025-03-21,"Alerta alta",0.1,63.3,0.1,87.7
2025-03-22,2025-03-31,"Normal",5.4,65.1,1.4,67
2025-03-22,2025-03-31,"Alerta baja",56.7,65.1,1.4,67
2025-03-22,2025-03-31,"Alerta media",36.8,65.1,1.4,67
2025-03-22,2025-03-31,"Alerta alta",1.1,65.1,1.4,67
2025-04-01,2025-04-10,"Normal",6.6,85,0,56.9
2025-04-01,2025-04-10,"Alerta baja",44.8,85,0,56.9
2025-04-01,2025-04-10,"Alerta media",48.6,85,0,56.9
2025-04-11,2025-04-20,"Normal",15,61.4,0.5,35
2025-04-11,2025-04-20,"Alerta baja",73.5,61.4,0.5,35
2025-04-11,2025-04-20,"Alerta media",10.9,61.4,0.5,35
2025-04-11,2025-04-20,"Alerta alta",0.5,61.4,0.5,35
2025-04-21,2025-04-30,"Normal",11,59.1,0.3,65.9
2025-04-21,2025-04-30,"Alerta baja",52.9,59.1,0.3,65.9
2025-04-21,2025-04-30,"Alerta media",35.8,59.1,0.3,65.9
2025-04-21,2025-04-30,"Alerta alta",0.3,59.1,0.3,65.9
2025-05-01,2025-05-10,"Normal",13.4,60,0,57
2025-05-01,2025-05-10,"Alerta baja",56.3,60,0,57
2025-05-01,2025-05-10,"Alerta media",30.4,60,0,57
