"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_secos","pct_area_cond_hr"
2025-01-01,2025-01-10,"Normal",90.1,0.8,3.8,6.4
2025-01-01,2025-01-10,"Alerta baja",8,0.8,3.8,6.4
2025-01-01,2025-01-10,"Alerta media",1.9,0.8,3.8,6.4
2025-01-11,2025-01-20,"Normal",80.2,0.8,17.2,8
2025-01-11,2025-01-20,"Alerta baja",12.9,0.8,17.2,8
2025-01-11,2025-01-20,"Alerta media",6.9,0.8,17.2,8
2025-01-21,2025-01-30,"Normal",93,0.9,1.2,6
2025-01-21,2025-01-30,"Alerta baja",4.9,0.9,1.2,6
2025-01-21,2025-01-30,"Alerta media",2.1,0.9,1.2,6
2025-01-31,2025-02-09,"Normal",39.3,1.5,57.9,21.6
2025-01-31,2025-02-09,"Alerta baja",39.1,1.5,57.9,21.6
2025-01-31,2025-02-09,"Alerta media",21.6,1.5,57.9,21.6
2025-02-10,2025-02-19,"Normal",96.8,1,0,2.2
2025-02-10,2025-02-19,"Alerta baja",2.2,1,0,2.2
2025-02-10,2025-02-19,"Alerta media",1,1,0,2.2
2025-02-20,2025-03-01,"Normal",85,1.2,0.9,13.7
2025-02-20,2025-03-01,"Alerta baja",12.9,1.2,0.9,13.7
2025-02-20,2025-03-01,"Alerta media",2.1,1.2,0.9,13.7
2025-03-02,2025-03-11,"Normal",99.7,0.1,0.2,0
2025-03-02,2025-03-11,"Alerta baja",0.2,0.1,0.2,0
2025-03-02,2025-03-11,"Alerta media",0.1,0.1,0.2,0
2025-03-12,2025-03-21,"Normal",81.8,0,18.2,7
2025-03-12,2025-03-21,"Alerta baja",11.3,0,18.2,7
2025-03-12,2025-03-21,"Alerta media",6.9,0,18.2,7
2025-03-22,2025-03-31,"Normal",73.8,0,24.7,21.4
2025-03-22,2025-03-31,"Alerta baja",6.3,0,24.7,21.4
2025-03-22,2025-03-31,"Alerta media",19.9,0,24.7,21.4
2025-04-01,2025-04-10,"Normal",56.9,0,37.1,19.5
2025-04-01,2025-04-10,"Alerta baja",29.6,0,37.1,19.5
2025-04-01,2025-04-10,"Alerta media",13.5,0,37.1,19.5
2025-04-11,2025-04-20,"Normal",36.4,0,56.8,31.8
2025-04-11,2025-04-20,"Alerta baja",38.5,0,56.8,31.8
2025-04-11,2025-04-20,"Alerta media",25.1,0,56.8,31.8
2025-04-21,2025-04-30,"Normal",49.2,0,50.3,22.1
2025-04-21,2025-04-30,"Alerta baja",29,0,50.3,22.1
2025-04-21,2025-04-30,"Alerta media",21.7,0,50.3,22.1
2025-05-01,2025-05-10,"Normal",63.3,0,33.8,28.9
2025-05-01,2025-05-10,"Alerta baja",10.6,0,33.8,28.9
2025-05-01,2025-05-10,"Alerta media",26.1,0,33.8,28.9
2025-05-11,2025-05-20,"Normal",7.7,0,88.8,42.2
2025-05-11,2025-05-20,"Alerta baja",53.6,0,88.8,42.2
2025-05-11,2025-05-20,"Alerta media",38.7,0,88.8,42.2
2025-05-21,2025-05-30,"Normal",43.7,0,35.9,44.9
2025-05-21,2025-05-30,"Alerta baja",31.9,0,35.9,44.9
2025-05-21,2025-05-30,"Alerta media",24.5,0,35.9,44.9
2025-05-31,2025-06-09,"Normal",14.2,0,85.5,51
2025-05-31,2025-06-09,"Alerta baja",35.1,0,85.5,51
2025-05-31,2025-06-09,"Alerta media",50.7,0,85.5,51
2025-06-10,2025-06-19,"Normal",25.1,0,67.3,51.6
2025-06-10,2025-06-19,"Alerta baja",30.8,0,67.3,51.6
2025-06-10,2025-06-19,"Alerta media",44.1,0,67.3,51.6
2025-06-20,2025-06-29,"Normal",4.4,0,95.5,52.2
2025-06-20,2025-06-29,"Alerta baja",43.4,0,95.5,52.2
2025-06-20,2025-06-29,"Alerta media",52.2,0,95.5,52.2
2025-06-30,2025-07-09,"Normal",0.6,0,99.3,58.4
2025-06-30,2025-07-09,"Alerta baja",41.1,0,99.3,58.4
2025-06-30,2025-07-09,"Alerta media",58.3,0,99.3,58.4
2025-07-10,2025-07-19,"Normal",19.9,0,75.2,52.3
2025-07-10,2025-07-19,"Alerta baja",32.7,0,75.2,52.3
2025-07-10,2025-07-19,"Alerta media",47.4,0,75.2,52.3
2025-07-20,2025-07-29,"Normal",12.4,0,84.5,56.8
2025-07-20,2025-07-29,"Alerta baja",33.9,0,84.5,56.8
2025-07-20,2025-07-29,"Alerta media",53.8,0,84.5,56.8
2025-07-30,2025-08-08,"Normal",32.6,0,52.6,59.2
2025-07-30,2025-08-08,"Alerta baja",22.9,0,52.6,59.2
2025-07-30,2025-08-08,"Alerta media",44.5,0,52.6,59.2
2025-08-09,2025-08-18,"Normal",7.7,0,91.4,68.7
2025-08-09,2025-08-18,"Alerta baja",24.5,0,91.4,68.7
