"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr"
2025-01-01,2025-01-10,"Normal",48.2,22.9,40.7
2025-01-01,2025-01-10,"Alerta media",40.1,22.9,40.7
2025-01-01,2025-01-10,"Alerta alta",11.8,22.9,40.7
2025-01-11,2025-01-20,"Normal",38.2,22.1,53.5
2025-01-11,2025-01-20,"Alerta media",48,22.1,53.5
2025-01-11,2025-01-20,"Alerta alta",13.8,22.1,53.5
2025-01-21,2025-01-30,"Normal",45.3,24.6,42.8
2025-01-21,2025-01-30,"Alerta media",41.9,24.6,42.8
2025-01-21,2025-01-30,"Alerta alta",12.8,24.6,42.8
2025-01-31,2025-02-09,"Normal",34.7,26,57.4
2025-01-31,2025-02-09,"Alerta media",47.1,26,57.4
2025-01-31,2025-02-09,"Alerta alta",18.1,26,57.4
2025-02-10,2025-02-19,"Normal",28.2,25.9,61.5
2025-02-10,2025-02-19,"Alerta media",56.3,25.9,61.5
2025-02-10,2025-02-19,"Alerta alta",15.6,25.9,61.5
2025-02-20,2025-03-01,"Normal",29.6,27.3,61.1
2025-02-20,2025-03-01,"Alerta media",52.5,27.3,61.1
2025-02-20,2025-03-01,"Alerta alta",17.9,27.3,61.1
2025-03-02,2025-03-11,"Normal",65.9,18.3,17.1
2025-03-02,2025-03-11,"Alerta media",32.9,18.3,17.1
2025-03-02,2025-03-11,"Alerta alta",1.2,18.3,17.1
2025-03-12,2025-03-21,"Normal",55.1,18.7,26.6
2025-03-12,2025-03-21,"Alerta media",44.5,18.7,26.6
2025-03-12,2025-03-21,"Alerta alta",0.4,18.7,26.6
2025-03-22,2025-03-31,"Normal",48.8,23.8,28.9
2025-03-22,2025-03-31,"Alerta media",49.7,23.8,28.9
2025-03-22,2025-03-31,"Alerta alta",1.5,23.8,28.9
2025-04-01,2025-04-10,"Normal",66.7,8,26.3
2025-04-01,2025-04-10,"Alerta media",32.2,8,26.3
2025-04-01,2025-04-10,"Alerta alta",1.1,8,26.3
2025-04-11,2025-04-20,"Normal",60.9,17.2,23.6
2025-04-11,2025-04-20,"Alerta media",37.5,17.2,23.6
2025-04-11,2025-04-20,"Alerta alta",1.6,17.2,23.6
2025-04-21,2025-04-30,"Normal",58.1,10.3,31.9
2025-04-21,2025-04-30,"Alerta media",41.5,10.3,31.9
2025-04-21,2025-04-30,"Alerta alta",0.4,10.3,31.9
2025-05-01,2025-05-10,"Normal",50.4,18.7,34.6
2025-05-01,2025-05-10,"Alerta media",45.9,18.7,34.6
2025-05-01,2025-05-10,"Alerta alta",3.7,18.7,34.6
2025-05-11,2025-05-20,"Normal",55.2,11,38
2025-05-11,2025-05-20,"Alerta media",40.6,11,38
2025-05-11,2025-05-20,"Alerta alta",4.2,11,38
2025-05-21,2025-05-30,"Normal",74.4,4.2,21.9
2025-05-21,2025-05-30,"Alerta media",25.1,4.2,21.9
2025-05-21,2025-05-30,"Alerta alta",0.5,4.2,21.9
2025-05-31,2025-06-09,"Normal",78.3,2.1,19.7
2025-05-31,2025-06-09,"Alerta media",21.6,2.1,19.7
2025-05-31,2025-06-09,"Alerta alta",0.1,2.1,19.7
2025-06-10,2025-06-19,"Normal",80.1,2.2,17.9
2025-06-10,2025-06-19,"Alerta media",19.7,2.2,17.9
2025-06-10,2025-06-19,"Alerta alta",0.2,2.2,17.9
2025-06-20,2025-06-29,"Normal",76.6,0.2,23.2
2025-06-20,2025-06-29,"Alerta media",23.4,0.2,23.2
2025-06-30,2025-07-09,"Normal",75.1,0,24.9
2025-06-30,2025-07-09,"Alerta media",24.9,0,24.9
2025-07-10,2025-07-19,"Normal",72.3,1.7,26.5
2025-07-10,2025-07-19,"Alerta media",27.2,1.7,26.5
2025-07-10,2025-07-19,"Alerta alta",0.5,1.7,26.5
2025-07-20,2025-07-29,"Normal",75.1,5,21.5
2025-07-20,2025-07-29,"Alerta media",23.3,5,21.5
2025-07-20,2025-07-29,"Alerta alta",1.6,5,21.5
2025-07-30,2025-08-08,"Normal",74.1,3.6,23.1
2025-07-30,2025-08-08,"Alerta media",25.1,3.6,23.1
2025-07-30,2025-08-08,"Alerta alta",0.8,3.6,23.1
2025-08-09,2025-08-18,"Normal",77,2.4,22.4
2025-08-09,2025-08-18,"Alerta media",21.3,2.4,22.4
2025-08-09,2025-08-18,"Alerta alta",1.8,2.4,22.4
2025-08-19,2025-08-28,"Normal",83.5,3,13.5
2025-08-19,2025-08-28,"Alerta media",16.5,3,13.5
2025-08-19,2025-08-28,"Alerta alta",0,3,13.5
2025-08-29,2025-09-07,"Normal",72.9,10.1,20.2
2025-08-29,2025-09-07,"Alerta media",23.9,10.1,20.2
2025-08-29,2025-09-07,"Alerta alta",3.2,10.1,20.2
2025-09-08,2025-09-17,"Normal",60.7,22.8,24.6
2025-09-08,2025-09-17,"Alerta media",31.2,22.8,24.6
2025-09-08,2025-09-17,"Alerta alta",8.1,22.8,24.6
2025-09-18,2025-09-27,"Normal",64.3,24,20.7
2025-09-18,2025-09-27,"Alerta media",26.7,24,20.7
2025-09-18,2025-09-27,"Alerta alta",9,24,20.7
2025-09-28,2025-10-07,"Normal",54.8,16.7,38.1
2025-09-28,2025-10-07,"Alerta media",35.5,16.7,38.1
2025-09-28,2025-10-07,"Alerta alta",9.7,16.7,38.1
2025-10-08,2025-10-17,"Normal",63.2,19.5,21.7
2025-10-08,2025-10-17,"Alerta media",32.4,19.5,21.7
2025-10-08,2025-10-17,"Alerta alta",4.4,19.5,21.7
2025-10-18,2025-10-27,"Normal",52.8,18.6,43.3
2025-10-18,2025-10-27,"Alerta media",32.5,18.6,43.3
2025-10-18,2025-10-27,"Alerta alta",14.6,18.6,43.3
2025-10-28,2025-11-06,"Normal",60.8,15.3,31
2025-10-28,2025-11-06,"Alerta media",32.1,15.3,31
2025-10-28,2025-11-06,"Alerta alta",7.1,15.3,31
2025-11-07,2025-11-16,"Normal",53.2,19.4,39.4
2025-11-07,2025-11-16,"Alerta media",34.9,19.4,39.4
2025-11-07,2025-11-16,"Alerta alta",11.9,19.4,39.4
2025-11-17,2025-11-26,"Normal",50.5,17.2,40.6
2025-11-17,2025-11-26,"Alerta media",41.2,17.2,40.6
2025-11-17,2025-11-26,"Alerta alta",8.3,17.2,40.6
2025-11-27,2025-12-06,"Normal",46.6,24.4,45.4
2025-11-27,2025-12-06,"Alerta media",37.1,24.4,45.4
2025-11-27,2025-12-06,"Alerta alta",16.4,24.4,45.4
2025-12-07,2025-12-16,"Normal",51,27.4,36.6
2025-12-07,2025-12-16,"Alerta media",34.1,27.4,36.6
2025-12-07,2025-12-16,"Alerta alta",15,27.4,36.6
2025-12-17,2025-12-26,"Normal",48.4,23.6,40.3
2025-12-17,2025-12-26,"Alerta media",39.3,23.6,40.3
2025-12-17,2025-12-26,"Alerta alta",12.4,23.6,40.3
2025-12-27,2025-12-31,"Normal",45.8,22.1,40.2
2025-12-27,2025-12-31,"Alerta media",46,22.1,40.2
2025-12-27,2025-12-31,"Alerta alta",8.2,22.1,40.2
