"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr","pct_area_cond_lluvia"
2025-01-01,2025-01-10,"Alerta baja",30.2,69.8,0,100
2025-01-01,2025-01-10,"Alerta media",69.8,69.8,0,100
2025-01-11,2025-01-20,"Normal",3.8,67.8,0,95.6
2025-01-11,2025-01-20,"Alerta baja",29,67.8,0,95.6
2025-01-11,2025-01-20,"Alerta media",67.2,67.8,0,95.6
2025-01-21,2025-01-30,"Alerta baja",27.3,72.7,0,100
2025-01-21,2025-01-30,"Alerta media",72.7,72.7,0,100
2025-01-31,2025-02-09,"Normal",23.2,73.1,0,41.1
2025-01-31,2025-02-09,"Alerta baja",39.4,73.1,0,41.1
2025-01-31,2025-02-09,"Alerta media",37.4,73.1,0,41.1
2025-02-10,2025-02-19,"Alerta baja",25.8,74.4,0,99.8
2025-02-10,2025-02-19,"Alerta media",74.2,74.4,0,99.8
2025-02-20,2025-03-01,"Normal",0.2,74.8,0,99.8
2025-02-20,2025-03-01,"Alerta baja",24.9,74.8,0,99.8
2025-02-20,2025-03-01,"Alerta media",74.8,74.8,0,99.8
2025-03-02,2025-03-11,"Alerta baja",31.1,67.2,15.9,100
2025-03-02,2025-03-11,"Alerta media",54.7,67.2,15.9,100
2025-03-02,2025-03-11,"Alerta alta",14.2,67.2,15.9,100
2025-03-12,2025-03-21,"Alerta baja",34.1,65.9,0,100
2025-03-12,2025-03-21,"Alerta media",65.9,65.9,0,100
2025-03-22,2025-03-31,"Normal",6.9,76.7,17.2,87.4
2025-03-22,2025-03-31,"Alerta baja",21.5,76.7,17.2,87.4
2025-03-22,2025-03-31,"Alerta media",55.1,76.7,17.2,87.4
2025-03-22,2025-03-31,"Alerta alta",16.5,76.7,17.2,87.4
2025-04-01,2025-04-10,"Normal",11.6,53.5,0,49.3
2025-04-01,2025-04-10,"Alerta baja",74.1,53.5,0,49.3
2025-04-01,2025-04-10,"Alerta media",14.3,53.5,0,49.3
2025-04-11,2025-04-20,"Normal",8.8,65.2,6.9,66.9
2025-04-11,2025-04-20,"Alerta baja",50.4,65.2,6.9,66.9
2025-04-11,2025-04-20,"Alerta media",34,65.2,6.9,66.9
2025-04-11,2025-04-20,"Alerta alta",6.9,65.2,6.9,66.9
2025-04-21,2025-04-30,"Alerta baja",44.8,54.8,4.1,100
2025-04-21,2025-04-30,"Alerta media",51.5,54.8,4.1,100
2025-04-21,2025-04-30,"Alerta alta",3.7,54.8,4.1,100
2025-05-01,2025-05-10,"Normal",14.9,71.1,0,72.6
2025-05-01,2025-05-10,"Alerta baja",26.4,71.1,0,72.6
2025-05-01,2025-05-10,"Alerta media",58.6,71.1,0,72.6
2025-05-11,2025-05-20,"Normal",40.7,59,0,3.2
2025-05-11,2025-05-20,"Alerta baja",56.3,59,0,3.2
2025-05-11,2025-05-20,"Alerta media",3,59,0,3.2
2025-05-21,2025-05-30,"Normal",32.3,43.5,7.9,43
2025-05-21,2025-05-30,"Alerta baja",44.7,43.5,7.9,43
2025-05-21,2025-05-30,"Alerta media",18,43.5,7.9,43
2025-05-21,2025-05-30,"Alerta alta",4.9,43.5,7.9,43
2025-05-31,2025-06-09,"Normal",70.2,26.3,0,6.7
2025-05-31,2025-06-09,"Alerta baja",26.5,26.3,0,6.7
2025-05-31,2025-06-09,"Alerta media",3.2,26.3,0,6.7
2025-06-10,2025-06-19,"Normal",58.4,34.1,1.7,19.8
2025-06-10,2025-06-19,"Alerta baja",26.9,34.1,1.7,19.8
2025-06-10,2025-06-19,"Alerta media",14.4,34.1,1.7,19.8
2025-06-10,2025-06-19,"Alerta alta",0.2,34.1,1.7,19.8
2025-06-20,2025-06-29,"Normal",74.1,18.1,4.3,12.5
2025-06-20,2025-06-29,"Alerta baja",14.7,18.1,4.3,12.5
2025-06-20,2025-06-29,"Alerta media",10.9,18.1,4.3,12.5
2025-06-20,2025-06-29,"Alerta alta",0.4,18.1,4.3,12.5
2025-06-30,2025-07-09,"Normal",89.9,10.1,0,2
2025-06-30,2025-07-09,"Alerta baja",8.1,10.1,0,2
2025-06-30,2025-07-09,"Alerta media",2,10.1,0,2
2025-07-10,2025-07-19,"Normal",65.4,23.6,0,19.6
2025-07-10,2025-07-19,"Alerta baja",25.9,23.6,0,19.6
