"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr","pct_area_cond_precip"
2025-01-01,2025-01-15,"Normal",47,13.6,1.6,43.2
2025-01-01,2025-01-15,"Alerta baja",9.9,13.6,1.6,43.2
2025-01-01,2025-01-15,"Alerta media",43,13.6,1.6,43.2
2025-01-01,2025-01-15,"Alerta alta",0.2,13.6,1.6,43.2
2025-01-16,2025-01-30,"Normal",36.3,13.1,0.5,62.7
2025-01-16,2025-01-30,"Alerta baja",1,13.1,0.5,62.7
2025-01-16,2025-01-30,"Alerta media",62.7,13.1,0.5,62.7
2025-01-31,2025-02-14,"Normal",78.5,14.1,0,9
2025-01-31,2025-02-14,"Alerta baja",12.5,14.1,0,9
2025-01-31,2025-02-14,"Alerta media",9,14.1,0,9
2025-02-15,2025-03-01,"Normal",43.1,14.1,0.8,52.1
2025-02-15,2025-03-01,"Alerta baja",4.8,14.1,0.8,52.1
2025-02-15,2025-03-01,"Alerta media",52.1,14.1,0.8,52.1
2025-02-15,2025-03-01,"Alerta alta",0.1,14.1,0.8,52.1
2025-03-02,2025-03-16,"Normal",16.9,13.9,8.4,81.6
2025-03-02,2025-03-16,"Alerta baja",1.4,13.9,8.4,81.6
2025-03-02,2025-03-16,"Alerta media",79.7,13.9,8.4,81.6
2025-03-02,2025-03-16,"Alerta alta",1.9,13.9,8.4,81.6
2025-03-17,2025-03-31,"Normal",42.4,15.9,0.5,49.8
2025-03-17,2025-03-31,"Alerta baja",7.7,15.9,0.5,49.8
2025-03-17,2025-03-31,"Alerta media",49.5,15.9,0.5,49.8
2025-03-17,2025-03-31,"Alerta alta",0.3,15.9,0.5,49.8
2025-04-01,2025-04-15,"Normal",70.9,16.4,0.2,13.1
2025-04-01,2025-04-15,"Alerta baja",16,16.4,0.2,13.1
2025-04-01,2025-04-15,"Alerta media",13.1,16.4,0.2,13.1
2025-04-16,2025-04-30,"Normal",65.4,15,0.9,23.3
2025-04-16,2025-04-30,"Alerta baja",11.2,15,0.9,23.3
2025-04-16,2025-04-30,"Alerta media",22.9,15,0.9,23.3
2025-04-16,2025-04-30,"Alerta alta",0.5,15,0.9,23.3
2025-05-01,2025-05-15,"Normal",80.1,17,0,6
2025-05-01,2025-05-15,"Alerta baja",13.9,17,0,6
2025-05-01,2025-05-15,"Alerta media",6,17,0,6
2025-05-16,2025-05-30,"Normal",86,13.9,0.1,0
2025-05-16,2025-05-30,"Alerta baja",14,13.9,0.1,0
2025-05-16,2025-05-30,"Alerta media",0,13.9,0.1,0
2025-05-31,2025-06-14,"Normal",94,5.8,0.1,0
2025-05-31,2025-06-14,"Alerta baja",6,5.8,0.1,0
2025-06-15,2025-06-29,"Normal",92.5,5.9,1.8,0
2025-06-15,2025-06-29,"Alerta baja",7.4,5.9,1.8,0
2025-06-15,2025-06-29,"Alerta media",0.2,5.9,1.8,0
2025-06-30,2025-07-14,"Normal",95.9,4.1,0,0
2025-06-30,2025-07-14,"Alerta baja",4.1,4.1,0,0
2025-07-15,2025-07-29,"Normal",88.1,11.8,0.1,0
2025-07-15,2025-07-29,"Alerta baja",11.9,11.8,0.1,0
2025-07-30,2025-08-13,"Normal",90.4,9,0,1.1
2025-07-30,2025-08-13,"Alerta baja",8.5,9,0,1.1
2025-07-30,2025-08-13,"Alerta media",1.1,9,0,1.1
2025-08-14,2025-08-28,"Normal",89.4,10.3,0,1
2025-08-14,2025-08-28,"Alerta baja",9.7,10.3,0,1
2025-08-14,2025-08-28,"Alerta media",1,10.3,0,1
2025-08-29,2025-09-12,"Normal",85.3,14.3,0,1.1
2025-08-29,2025-09-12,"Alerta baja",13.6,14.3,0,1.1
2025-08-29,2025-09-12,"Alerta media",1.1,14.3,0,1.1
2025-09-13,2025-09-27,"Normal",85.5,14.5,0,0.2
2025-09-13,2025-09-27,"Alerta baja",14.3,14.5,0,0.2
2025-09-13,2025-09-27,"Alerta media",0.2,14.5,0,0.2
2025-09-28,2025-10-12,"Normal",71.9,15.9,0,19.2
2025-09-28,2025-10-12,"Alerta baja",8.9,15.9,0,19.2
2025-09-28,2025-10-12,"Alerta media",19.2,15.9,0,19.2
2025-10-13,2025-10-27,"Normal",59.3,16.4,0,33.4
2025-10-13,2025-10-27,"Alerta baja",7.3,16.4,0,33.4
2025-10-13,2025-10-27,"Alerta media",33.4,16.4,0,33.4
2025-10-28,2025-11-11,"Normal",75.4,19.1,0,8.2
2025-10-28,2025-11-11,"Alerta baja",16.5,19.1,0,8.2
2025-10-28,2025-11-11,"Alerta media",8.2,19.1,0,8.2
2025-11-12,2025-11-26,"Normal",63.5,15.9,0.2,25
2025-11-12,2025-11-26,"Alerta baja",11.4,15.9,0.2,25
2025-11-12,2025-11-26,"Alerta media",25,15.9,0.2,25
2025-11-27,2025-12-11,"Normal",55,16.5,0.5,36.1
2025-11-27,2025-12-11,"Alerta baja",8.9,16.5,0.5,36.1
2025-11-27,2025-12-11,"Alerta media",36.1,16.5,0.5,36.1
2025-12-12,2025-12-26,"Normal",57.1,17.7,0.3,36.1
2025-12-12,2025-12-26,"Alerta baja",6.8,17.7,0.3,36.1
2025-12-12,2025-12-26,"Alerta media",36.1,17.7,0.3,36.1
2025-12-27,2025-12-31,"Normal",81,14.3,2.8,2.3
2025-12-27,2025-12-31,"Alerta baja",16.6,14.3,2.8,2.3
2025-12-27,2025-12-31,"Alerta media",2.4,14.3,2.8,2.3
