"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_precip"
2025-01-01,2025-01-07,"Normal",3.2,8.9,96.8
2025-01-01,2025-01-07,"Alerta baja",88,8.9,96.8
2025-01-01,2025-01-07,"Alerta alta",8.9,8.9,96.8
2025-01-08,2025-01-14,"Normal",52,6.5,42.3
2025-01-08,2025-01-14,"Alerta baja",41.5,6.5,42.3
2025-01-08,2025-01-14,"Alerta media",5.8,6.5,42.3
2025-01-08,2025-01-14,"Alerta alta",0.7,6.5,42.3
2025-01-15,2025-01-21,"Normal",33.8,9.7,63.3
2025-01-15,2025-01-21,"Alerta baja",56.5,9.7,63.3
2025-01-15,2025-01-21,"Alerta media",2.9,9.7,63.3
2025-01-15,2025-01-21,"Alerta alta",6.8,9.7,63.3
2025-01-22,2025-01-28,"Normal",27,10.7,73
2025-01-22,2025-01-28,"Alerta baja",62.2,10.7,73
2025-01-22,2025-01-28,"Alerta alta",10.7,10.7,73
2025-01-29,2025-02-04,"Normal",50.1,10.6,49.6
2025-01-29,2025-02-04,"Alerta baja",39.3,10.6,49.6
2025-01-29,2025-02-04,"Alerta media",0.3,10.6,49.6
2025-01-29,2025-02-04,"Alerta alta",10.4,10.6,49.6
2025-02-05,2025-02-11,"Normal",82.5,10,12.1
2025-02-05,2025-02-11,"Alerta baja",7.4,10,12.1
2025-02-05,2025-02-11,"Alerta media",5.4,10,12.1
2025-02-05,2025-02-11,"Alerta alta",4.7,10,12.1
2025-02-12,2025-02-18,"Normal",10.2,9.8,89.7
2025-02-12,2025-02-18,"Alerta baja",80,9.8,89.7
2025-02-12,2025-02-18,"Alerta media",0.1,9.8,89.7
2025-02-12,2025-02-18,"Alerta alta",9.7,9.8,89.7
2025-02-19,2025-02-25,"Normal",66.3,10.7,26.4
2025-02-19,2025-02-25,"Alerta baja",23,10.7,26.4
2025-02-19,2025-02-25,"Alerta media",7.3,10.7,26.4
2025-02-19,2025-02-25,"Alerta alta",3.4,10.7,26.4
2025-02-26,2025-03-04,"Normal",3,8.2,96.7
2025-02-26,2025-03-04,"Alerta baja",88.7,8.2,96.7
2025-02-26,2025-03-04,"Alerta media",0.3,8.2,96.7
2025-02-26,2025-03-04,"Alerta alta",7.9,8.2,96.7
2025-03-05,2025-03-11,"Alerta baja",96.4,3.6,100
2025-03-05,2025-03-11,"Alerta alta",3.6,3.6,100
2025-03-12,2025-03-18,"Normal",14.9,1,85.1
2025-03-12,2025-03-18,"Alerta baja",84.1,1,85.1
2025-03-12,2025-03-18,"Alerta alta",1,1,85.1
