"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_hr","pct_area_cond_precip"
2025-01-01,2025-01-10,"Normal",2,77.8,55.1,96.5
2025-01-01,2025-01-10,"Alerta baja",16,77.8,55.1,96.5
2025-01-01,2025-01-10,"Alerta media",32.5,77.8,55.1,96.5
2025-01-01,2025-01-10,"Alerta alta",49.5,77.8,55.1,96.5
2025-01-11,2025-01-20,"Normal",12.4,74.3,50.8,84.2
2025-01-11,2025-01-20,"Alerta baja",13,74.3,50.8,84.2
2025-01-11,2025-01-20,"Alerta media",26.9,74.3,50.8,84.2
2025-01-11,2025-01-20,"Alerta alta",47.8,74.3,50.8,84.2
2025-01-21,2025-01-30,"Normal",9.3,75.8,34.5,81.3
2025-01-21,2025-01-30,"Alerta baja",17.4,75.8,34.5,81.3
2025-01-21,2025-01-30,"Alerta media",45.8,75.8,34.5,81.3
2025-01-21,2025-01-30,"Alerta alta",27.5,75.8,34.5,81.3
2025-01-31,2025-02-09,"Normal",23.9,69.2,31.8,62.9
2025-01-31,2025-02-09,"Alerta baja",17.2,69.2,31.8,62.9
2025-01-31,2025-02-09,"Alerta media",29.3,69.2,31.8,62.9
2025-01-31,2025-02-09,"Alerta alta",29.6,69.2,31.8,62.9
2025-02-10,2025-02-19,"Normal",6.3,76.5,49.8,87.7
2025-02-10,2025-02-19,"Alerta baja",18.9,76.5,49.8,87.7
2025-02-10,2025-02-19,"Alerta media",29.4,76.5,49.8,87.7
2025-02-10,2025-02-19,"Alerta alta",45.5,76.5,49.8,87.7
2025-02-20,2025-03-01,"Normal",16.3,74.7,34.5,74.7
2025-02-20,2025-03-01,"Alerta baja",15.2,74.7,34.5,74.7
2025-02-20,2025-03-01,"Alerta media",36.5,74.7,34.5,74.7
2025-02-20,2025-03-01,"Alerta alta",32,74.7,34.5,74.7
2025-03-02,2025-03-11,"Normal",1,80.5,68.1,91.9
2025-03-02,2025-03-11,"Alerta baja",14.7,80.5,68.1,91.9
2025-03-02,2025-03-11,"Alerta media",26.9,80.5,68.1,91.9
2025-03-02,2025-03-11,"Alerta alta",57.3,80.5,68.1,91.9
2025-03-12,2025-03-21,"Normal",5.7,79.2,59.7,88.3
2025-03-12,2025-03-21,"Alerta baja",11.7,79.2,59.7,88.3
2025-03-12,2025-03-21,"Alerta media",31.7,79.2,59.7,88.3
2025-03-12,2025-03-21,"Alerta alta",51,79.2,59.7,88.3
2025-03-22,2025-03-31,"Normal",9.8,81.8,54,81.9
2025-03-22,2025-03-31,"Alerta baja",9.8,81.8,54,81.9
2025-03-22,2025-03-31,"Alerta media",33.3,81.8,54,81.9
2025-03-22,2025-03-31,"Alerta alta",47.2,81.8,54,81.9
2025-04-01,2025-04-10,"Normal",10.8,79.6,31.2,47.8
2025-04-01,2025-04-10,"Alerta baja",36.4,79.6,31.2,47.8
2025-04-01,2025-04-10,"Alerta media",33,79.6,31.2,47.8
2025-04-01,2025-04-10,"Alerta alta",19.8,79.6,31.2,47.8
2025-04-11,2025-04-20,"Normal",16,81.8,50.2,57.8
