"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_secos"
2025-01-01,2025-01-15,"Normal",25.5,68.6,7.3
2025-01-01,2025-01-15,"Alerta baja",67.2,68.6,7.3
2025-01-01,2025-01-15,"Alerta media",5.9,68.6,7.3
2025-01-01,2025-01-15,"Alerta alta",1.4,68.6,7.3
2025-01-16,2025-01-30,"Normal",29.1,70.2,0.7
2025-01-16,2025-01-30,"Alerta baja",70.2,70.2,0.7
2025-01-16,2025-01-30,"Alerta media",0.7,70.2,0.7
2025-01-31,2025-02-14,"Normal",25.9,70.5,3.7
2025-01-31,2025-02-14,"Alerta baja",70.4,70.5,3.7
2025-01-31,2025-02-14,"Alerta media",3.6,70.5,3.7
2025-01-31,2025-02-14,"Alerta alta",0,70.5,3.7
2025-02-15,2025-03-01,"Normal",29.4,70.1,0.5
2025-02-15,2025-03-01,"Alerta baja",70.1,70.1,0.5
2025-02-15,2025-03-01,"Alerta media",0.5,70.1,0.5
2025-03-02,2025-03-16,"Normal",35.1,64.8,0.1
2025-03-02,2025-03-16,"Alerta baja",64.8,64.8,0.1
2025-03-02,2025-03-16,"Alerta media",0.1,64.8,0.1
2025-03-17,2025-03-31,"Normal",22.7,68,9.5
2025-03-17,2025-03-31,"Alerta baja",67.7,68,9.5
2025-03-17,2025-03-31,"Alerta media",9.3,68,9.5
2025-03-17,2025-03-31,"Alerta alta",0.2,68,9.5
2025-04-01,2025-04-15,"Normal",23.3,59.6,21.7
2025-04-01,2025-04-15,"Alerta baja",55,59.6,21.7
2025-04-01,2025-04-15,"Alerta media",17.1,59.6,21.7
2025-04-01,2025-04-15,"Alerta alta",4.6,59.6,21.7
2025-04-16,2025-04-30,"Normal",36.4,61.6,2
2025-04-16,2025-04-30,"Alerta baja",61.6,61.6,2
2025-04-16,2025-04-30,"Alerta media",2,61.6,2
2025-05-01,2025-05-15,"Normal",19.8,62.3,27.4
2025-05-01,2025-05-15,"Alerta baja",52.8,62.3,27.4
2025-05-01,2025-05-15,"Alerta media",17.9,62.3,27.4
2025-05-01,2025-05-15,"Alerta alta",9.4,62.3,27.4
2025-05-16,2025-05-30,"Normal",33.4,55.1,12.6
2025-05-16,2025-05-30,"Alerta baja",54,55.1,12.6
2025-05-16,2025-05-30,"Alerta media",11.5,55.1,12.6
2025-05-16,2025-05-30,"Alerta alta",1.1,55.1,12.6
2025-05-31,2025-06-14,"Normal",21.2,48.8,38.7
2025-05-31,2025-06-14,"Alerta baja",40.2,48.8,38.7
2025-05-31,2025-06-14,"Alerta media",30,48.8,38.7
2025-05-31,2025-06-14,"Alerta alta",8.6,48.8,38.7
2025-06-15,2025-06-29,"Normal",12.8,46.9,51.8
2025-06-15,2025-06-29,"Alerta baja",35.4,46.9,51.8
2025-06-15,2025-06-29,"Alerta media",40.2,46.9,51.8
2025-06-15,2025-06-29,"Alerta alta",11.6,46.9,51.8
2025-06-30,2025-07-14,"Normal",6.2,39.5,90.9
2025-06-30,2025-07-14,"Alerta baja",3,39.5,90.9
2025-06-30,2025-07-14,"Alerta media",54.4,39.5,90.9
2025-06-30,2025-07-14,"Alerta alta",36.5,39.5,90.9
2025-07-15,2025-07-29,"Normal",14.4,51.2,42
2025-07-15,2025-07-29,"Alerta baja",43.7,51.2,42
2025-07-15,2025-07-29,"Alerta media",34.5,51.2,42
2025-07-15,2025-07-29,"Alerta alta",7.5,51.2,42
2025-07-30,2025-08-13,"Normal",21.8,50.4,45.9
2025-07-30,2025-08-13,"Alerta baja",32.3,50.4,45.9
2025-07-30,2025-08-13,"Alerta media",27.8,50.4,45.9
2025-07-30,2025-08-13,"Alerta alta",18.1,50.4,45.9
2025-08-14,2025-08-28,"Normal",23.4,55.3,32.1
2025-08-14,2025-08-28,"Alerta baja",44.4,55.3,32.1
2025-08-14,2025-08-28,"Alerta media",21.3,55.3,32.1
2025-08-14,2025-08-28,"Alerta alta",10.8,55.3,32.1
2025-08-29,2025-09-12,"Normal",23.8,61.3,20.5
2025-08-29,2025-09-12,"Alerta baja",55.7,61.3,20.5
2025-08-29,2025-09-12,"Alerta media",14.9,61.3,20.5
2025-08-29,2025-09-12,"Alerta alta",5.6,61.3,20.5
2025-09-13,2025-09-27,"Normal",18,68.4,29.5
2025-09-13,2025-09-27,"Alerta baja",52.5,68.4,29.5
2025-09-13,2025-09-27,"Alerta media",13.6,68.4,29.5
2025-09-13,2025-09-27,"Alerta alta",15.9,68.4,29.5
2025-09-28,2025-10-12,"Normal",20.7,64.7,26.5
2025-09-28,2025-10-12,"Alerta baja",52.8,64.7,26.5
