"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_precip"
2025-01-01,2025-01-10,"Normal",2.4,52.9,86
2025-01-01,2025-01-10,"Alerta baja",11.6,52.9,86
2025-01-01,2025-01-10,"Alerta media",44.8,52.9,86
2025-01-01,2025-01-10,"Alerta alta",41.3,52.9,86
2025-01-11,2025-01-20,"Normal",7.9,53.4,54.8
2025-01-11,2025-01-20,"Alerta baja",37.3,53.4,54.8
2025-01-11,2025-01-20,"Alerta media",38.7,53.4,54.8
2025-01-11,2025-01-20,"Alerta alta",16.2,53.4,54.8
2025-01-21,2025-01-30,"Normal",10.5,52.1,70.3
2025-01-21,2025-01-30,"Alerta baja",19.2,52.1,70.3
2025-01-21,2025-01-30,"Alerta media",37.4,52.1,70.3
2025-01-21,2025-01-30,"Alerta alta",32.9,52.1,70.3
2025-01-31,2025-02-09,"Normal",25.9,51.6,24.9
2025-01-31,2025-02-09,"Alerta baja",49.2,51.6,24.9
2025-01-31,2025-02-09,"Alerta media",22.4,51.6,24.9
2025-01-31,2025-02-09,"Alerta alta",2.4,51.6,24.9
2025-02-10,2025-02-19,"Normal",6.6,51.6,81.6
2025-02-10,2025-02-19,"Alerta baja",11.8,51.6,81.6
2025-02-10,2025-02-19,"Alerta media",41.9,51.6,81.6
2025-02-10,2025-02-19,"Alerta alta",39.7,51.6,81.6
2025-02-20,2025-03-01,"Normal",17.9,51.1,39.3
2025-02-20,2025-03-01,"Alerta baja",42.8,51.1,39.3
2025-02-20,2025-03-01,"Alerta media",31,51.1,39.3
2025-02-20,2025-03-01,"Alerta alta",8.3,51.1,39.3
2025-03-02,2025-03-11,"Normal",7.7,54.8,90.3
2025-03-02,2025-03-11,"Alerta baja",2,54.8,90.3
2025-03-02,2025-03-11,"Alerta media",37.5,54.8,90.3
2025-03-02,2025-03-11,"Alerta alta",52.8,54.8,90.3
2025-03-12,2025-03-21,"Normal",7,54.2,71.1
2025-03-12,2025-03-21,"Alerta baja",21.9,54.2,71.1
2025-03-12,2025-03-21,"Alerta media",38.7,54.2,71.1
2025-03-12,2025-03-21,"Alerta alta",32.4,54.2,71.1
2025-03-22,2025-03-31,"Normal",2.7,51.2,60.8
2025-03-22,2025-03-31,"Alerta baja",36.5,51.2,60.8
2025-03-22,2025-03-31,"Alerta media",46.1,51.2,60.8
2025-03-22,2025-03-31,"Alerta alta",14.7,51.2,60.8
2025-04-01,2025-04-10,"Normal",30.6,57.3,32.9
2025-04-01,2025-04-10,"Alerta baja",36.5,57.3,32.9
2025-04-01,2025-04-10,"Alerta media",12.1,57.3,32.9
2025-04-01,2025-04-10,"Alerta alta",20.9,57.3,32.9
2025-04-11,2025-04-20,"Normal",25.8,53.8,21.2
2025-04-11,2025-04-20,"Alerta baja",53.1,53.8,21.2
2025-04-11,2025-04-20,"Alerta media",20.5,53.8,21.2
2025-04-11,2025-04-20,"Alerta alta",0.7,53.8,21.2
2025-04-21,2025-04-30,"Normal",7.3,57.4,43
2025-04-21,2025-04-30,"Alerta baja",49.7,57.4,43
2025-04-21,2025-04-30,"Alerta media",35.4,57.4,43
2025-04-21,2025-04-30,"Alerta alta",7.7,57.4,43
2025-05-01,2025-05-10,"Normal",17.2,53.5,37.8
2025-05-01,2025-05-10,"Alerta baja",45,53.5,37.8
2025-05-01,2025-05-10,"Alerta media",29.2,53.5,37.8
2025-05-01,2025-05-10,"Alerta alta",8.5,53.5,37.8
2025-05-11,2025-05-20,"Normal",42.3,56,1.7
2025-05-11,2025-05-20,"Alerta baja",56,56,1.7
2025-05-11,2025-05-20,"Alerta media",1.7,56,1.7
2025-05-21,2025-05-30,"Normal",31.2,60.7,8.3
2025-05-21,2025-05-30,"Alerta baja",60.5,60.7,8.3
2025-05-21,2025-05-30,"Alerta media",8.1,60.7,8.3
2025-05-21,2025-05-30,"Alerta alta",0.2,60.7,8.3
2025-05-31,2025-06-09,"Normal",35.6,64.4,0
2025-05-31,2025-06-09,"Alerta baja",64.4,64.4,0
2025-05-31,2025-06-09,"Alerta media",0,64.4,0
2025-06-10,2025-06-19,"Normal",33.2,64,2.8
2025-06-10,2025-06-19,"Alerta baja",64,64,2.8
2025-06-10,2025-06-19,"Alerta media",2.8,64,2.8
2025-06-20,2025-06-29,"Normal",33.2,66.8,0
2025-06-20,2025-06-29,"Alerta baja",66.8,66.8,0
2025-06-20,2025-06-29,"Alerta media",0,66.8,0
2025-06-30,2025-07-09,"Normal",30.7,69.3,0
2025-06-30,2025-07-09,"Alerta baja",69.3,69.3,0
2025-07-10,2025-07-19,"Normal",36.3,63.7,0
2025-07-10,2025-07-19,"Alerta baja",63.7,63.7,0
2025-07-20,2025-07-29,"Normal",39.8,60,0.2
2025-07-20,2025-07-29,"Alerta baja",60,60,0.2
2025-07-20,2025-07-29,"Alerta media",0.2,60,0.2
2025-07-30,2025-08-08,"Normal",32.6,60.5,9.3
2025-07-30,2025-08-08,"Alerta baja",58,60.5,9.3
2025-07-30,2025-08-08,"Alerta media",6.8,60.5,9.3
2025-07-30,2025-08-08,"Alerta alta",2.5,60.5,9.3
2025-08-09,2025-08-18,"Normal",37.3,62.7,0
2025-08-09,2025-08-18,"Alerta baja",62.7,62.7,0
2025-08-19,2025-08-28,"Normal",26.1,62.3,12.8
2025-08-19,2025-08-28,"Alerta baja",61.1,62.3,12.8
2025-08-19,2025-08-28,"Alerta media",11.6,62.3,12.8
2025-08-19,2025-08-28,"Alerta alta",1.2,62.3,12.8
2025-08-29,2025-09-07,"Normal",34.8,56.4,10.8
2025-08-29,2025-09-07,"Alerta baja",54.4,56.4,10.8
2025-08-29,2025-09-07,"Alerta media",8.7,56.4,10.8
2025-08-29,2025-09-07,"Alerta alta",2,56.4,10.8
2025-09-08,2025-09-17,"Normal",42.7,52.7,4.9
2025-09-08,2025-09-17,"Alerta baja",52.4,52.7,4.9
2025-09-08,2025-09-17,"Alerta media",4.6,52.7,4.9
2025-09-08,2025-09-17,"Alerta alta",0.2,52.7,4.9
2025-09-18,2025-09-27,"Normal",47.3,51.6,1.4
2025-09-18,2025-09-27,"Alerta baja",51.3,51.6,1.4
2025-09-18,2025-09-27,"Alerta media",1.2,51.6,1.4
2025-09-18,2025-09-27,"Alerta alta",0.2,51.6,1.4
2025-09-28,2025-10-07,"Normal",6.6,53.9,47.6
2025-09-28,2025-10-07,"Alerta baja",45.7,53.9,47.6
2025-09-28,2025-10-07,"Alerta media",39.4,53.9,47.6
2025-09-28,2025-10-07,"Alerta alta",8.2,53.9,47.6
2025-10-08,2025-10-17,"Normal",40.4,53,11.9
2025-10-08,2025-10-17,"Alerta baja",47.7,53,11.9
2025-10-08,2025-10-17,"Alerta media",6.6,53,11.9
2025-10-08,2025-10-17,"Alerta alta",5.3,53,11.9
2025-10-18,2025-10-27,"Normal",3.8,52.8,54.4
2025-10-18,2025-10-27,"Alerta baja",41.8,52.8,54.4
2025-10-18,2025-10-27,"Alerta media",43.5,52.8,54.4
2025-10-18,2025-10-27,"Alerta alta",11,52.8,54.4
2025-10-28,2025-11-06,"Normal",32.5,52.9,17.5
2025-10-28,2025-11-06,"Alerta baja",50,52.9,17.5
2025-10-28,2025-11-06,"Alerta media",14.6,52.9,17.5
2025-10-28,2025-11-06,"Alerta alta",2.9,52.9,17.5
2025-11-07,2025-11-16,"Normal",14.1,51.9,44.1
2025-11-07,2025-11-16,"Alerta baja",41.8,51.9,44.1
2025-11-07,2025-11-16,"Alerta media",34,51.9,44.1
2025-11-07,2025-11-16,"Alerta alta",10.1,51.9,44.1
2025-11-17,2025-11-26,"Normal",10.3,54.2,39.1
2025-11-17,2025-11-26,"Alerta baja",50.6,54.2,39.1
2025-11-17,2025-11-26,"Alerta media",35.5,54.2,39.1
2025-11-17,2025-11-26,"Alerta alta",3.6,54.2,39.1
2025-11-27,2025-12-06,"Normal",6.4,51.3,58.4
2025-11-27,2025-12-06,"Alerta baja",35.2,51.3,58.4
2025-11-27,2025-12-06,"Alerta media",42.3,51.3,58.4
2025-11-27,2025-12-06,"Alerta alta",16.1,51.3,58.4
2025-12-07,2025-12-16,"Normal",8,50.1,47.2
2025-12-07,2025-12-16,"Alerta baja",44.8,50.1,47.2
2025-12-07,2025-12-16,"Alerta media",41.9,50.1,47.2
2025-12-07,2025-12-16,"Alerta alta",5.3,50.1,47.2
2025-12-17,2025-12-26,"Normal",8.9,51.6,54.9
2025-12-17,2025-12-26,"Alerta baja",36.2,51.6,54.9
2025-12-17,2025-12-26,"Alerta media",39.5,51.6,54.9
2025-12-17,2025-12-26,"Alerta alta",15.4,51.6,54.9
2025-12-27,2025-12-31,"Normal",32.5,52.9,24.5
2025-12-27,2025-12-31,"Alerta baja",43,52.9,24.5
2025-12-27,2025-12-31,"Alerta media",14.6,52.9,24.5
2025-12-27,2025-12-31,"Alerta alta",9.8,52.9,24.5
