"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_precip","pct_area_cond_lluvia"
2025-01-01,2025-01-10,"Normal",10,11,74.9,90
2025-01-01,2025-01-10,"Alerta baja",12.8,11,74.9,90
2025-01-01,2025-01-10,"Alerta media",68.4,11,74.9,90
2025-01-01,2025-01-10,"Alerta alta",8.7,11,74.9,90
2025-01-11,2025-01-20,"Normal",39.7,10.4,31.3,60
2025-01-11,2025-01-20,"Alerta baja",28.5,10.4,31.3,60
2025-01-11,2025-01-20,"Alerta media",22,10.4,31.3,60
2025-01-11,2025-01-20,"Alerta alta",9.8,10.4,31.3,60
2025-01-21,2025-01-30,"Normal",2.3,11.5,64.8,97.7
2025-01-21,2025-01-30,"Alerta baja",32.7,11.5,64.8,97.7
2025-01-21,2025-01-30,"Alerta media",53.7,11.5,64.8,97.7
2025-01-21,2025-01-30,"Alerta alta",11.3,11.5,64.8,97.7
2025-01-31,2025-02-09,"Normal",75,12.1,3.5,17.6
2025-01-31,2025-02-09,"Alerta baja",18.3,12.1,3.5,17.6
2025-01-31,2025-02-09,"Alerta media",5.1,12.1,3.5,17.6
2025-01-31,2025-02-09,"Alerta alta",1.5,12.1,3.5,17.6
2025-02-10,2025-02-19,"Normal",0,12.1,80.5,100
2025-02-10,2025-02-19,"Alerta baja",19.3,12.1,80.5,100
2025-02-10,2025-02-19,"Alerta media",68.8,12.1,80.5,100
2025-02-10,2025-02-19,"Alerta alta",11.9,12.1,80.5,100
2025-02-20,2025-03-01,"Normal",38,12.5,15.8,62
2025-02-20,2025-03-01,"Alerta baja",39.9,12.5,15.8,62
2025-02-20,2025-03-01,"Alerta media",16,12.5,15.8,62
2025-02-20,2025-03-01,"Alerta alta",6.2,12.5,15.8,62
2025-03-02,2025-03-11,"Normal",0.4,8.7,95.9,99.6
2025-03-02,2025-03-11,"Alerta baja",3.7,8.7,95.9,99.6
2025-03-02,2025-03-11,"Alerta media",87.2,8.7,95.9,99.6
2025-03-02,2025-03-11,"Alerta alta",8.7,8.7,95.9,99.6
2025-03-12,2025-03-21,"Normal",21.2,9.8,57,78.8
2025-03-12,2025-03-21,"Alerta baja",20.6,9.8,57,78.8
2025-03-12,2025-03-21,"Alerta media",49.4,9.8,57,78.8
2025-03-12,2025-03-21,"Alerta alta",8.7,9.8,57,78.8
2025-03-22,2025-03-31,"Normal",52.6,12.6,31.1,46.6
2025-03-22,2025-03-31,"Alerta baja",15.4,12.6,31.1,46.6
2025-03-22,2025-03-31,"Alerta media",21.1,12.6,31.1,46.6
2025-03-22,2025-03-31,"Alerta alta",10.9,12.6,31.1,46.6
2025-04-01,2025-04-10,"Normal",23.4,7.2,38.4,73.4
2025-04-01,2025-04-10,"Alerta baja",36.2,7.2,38.4,73.4
2025-04-01,2025-04-10,"Alerta media",38.3,7.2,38.4,73.4
2025-04-01,2025-04-10,"Alerta alta",2.1,7.2,38.4,73.4
2025-04-11,2025-04-20,"Normal",83.1,10.6,1.8,8.5
2025-04-11,2025-04-20,"Alerta baja",14.2,10.6,1.8,8.5
2025-04-11,2025-04-20,"Alerta media",1.3,10.6,1.8,8.5
2025-04-11,2025-04-20,"Alerta alta",1.3,10.6,1.8,8.5
2025-04-21,2025-04-30,"Normal",57.8,7,7.1,40.2
2025-04-21,2025-04-30,"Alerta baja",32.9,7,7.1,40.2
2025-04-21,2025-04-30,"Alerta media",6.6,7,7.1,40.2
2025-04-21,2025-04-30,"Alerta alta",2.7,7,7.1,40.2
2025-05-01,2025-05-10,"Normal",56,10.5,14.8,42.2
2025-05-01,2025-05-10,"Alerta baja",26.6,10.5,14.8,42.2
2025-05-01,2025-05-10,"Alerta media",11.3,10.5,14.8,42.2
2025-05-01,2025-05-10,"Alerta alta",6.1,10.5,14.8,42.2
2025-05-11,2025-05-20,"Normal",90.8,8.4,0,0.9
2025-05-11,2025-05-20,"Alerta baja",9.1,8.4,0,0.9
2025-05-11,2025-05-20,"Alerta media",0.1,8.4,0,0.9
2025-05-21,2025-05-30,"Normal",83.1,6.4,0.2,11.6
2025-05-21,2025-05-30,"Alerta baja",15.7,6.4,0.2,11.6
2025-05-21,2025-05-30,"Alerta media",1.2,6.4,0.2,11.6
2025-05-21,2025-05-30,"Alerta alta",0,6.4,0.2,11.6
2025-05-31,2025-06-09,"Normal",96.2,3.7,0,0.1
2025-05-31,2025-06-09,"Alerta baja",3.8,3.7,0,0.1
2025-05-31,2025-06-09,"Alerta media",0,3.7,0,0.1
2025-06-10,2025-06-19,"Normal",94.3,4.7,0,1.2
2025-06-10,2025-06-19,"Alerta baja",5.5,4.7,0,1.2
2025-06-10,2025-06-19,"Alerta media",0.2,4.7,0,1.2
2025-06-20,2025-06-29,"Normal",96.7,3.2,0,0.1
2025-06-20,2025-06-29,"Alerta baja",3.3,3.2,0,0.1
2025-06-20,2025-06-29,"Alerta media",0,3.2,0,0.1
2025-06-30,2025-07-09,"Normal",98.5,1.5,0,0
2025-06-30,2025-07-09,"Alerta baja",1.5,1.5,0,0
2025-07-10,2025-07-19,"Normal",96.4,3.6,0,0.1
2025-07-10,2025-07-19,"Alerta baja",3.6,3.6,0,0.1
2025-07-20,2025-07-29,"Normal",91.7,7.6,0,1.3
2025-07-20,2025-07-29,"Alerta baja",7.6,7.6,0,1.3
2025-07-20,2025-07-29,"Alerta media",0.6,7.6,0,1.3
2025-07-30,2025-08-08,"Normal",87.2,6.5,1.9,7.4
2025-07-30,2025-08-08,"Alerta baja",10.5,6.5,1.9,7.4
2025-07-30,2025-08-08,"Alerta media",1.5,6.5,1.9,7.4
2025-07-30,2025-08-08,"Alerta alta",0.8,6.5,1.9,7.4
2025-08-09,2025-08-18,"Normal",94.8,5,0,0.5
2025-08-09,2025-08-18,"Alerta baja",5,5,0,0.5
2025-08-09,2025-08-18,"Alerta media",0.2,5,0,0.5
2025-08-19,2025-08-28,"Normal",93.4,4.5,0.6,3.6
2025-08-19,2025-08-28,"Alerta baja",5.1,4.5,0.6,3.6
2025-08-19,2025-08-28,"Alerta media",0.9,4.5,0.6,3.6
2025-08-19,2025-08-28,"Alerta alta",0.6,4.5,0.6,3.6
2025-08-29,2025-09-07,"Normal",77.3,9.4,2.9,17.8
2025-08-29,2025-09-07,"Alerta baja",16,9.4,2.9,17.8
2025-08-29,2025-09-07,"Alerta media",6,9.4,2.9,17.8
2025-08-29,2025-09-07,"Alerta alta",0.7,9.4,2.9,17.8
2025-09-08,2025-09-17,"Normal",72,11.8,1.6,23
2025-09-08,2025-09-17,"Alerta baja",20.9,11.8,1.6,23
2025-09-08,2025-09-17,"Alerta media",5.9,11.8,1.6,23
2025-09-08,2025-09-17,"Alerta alta",1.2,11.8,1.6,23
2025-09-18,2025-09-27,"Normal",79.3,13.1,0.8,10.1
2025-09-18,2025-09-27,"Alerta baja",18,13.1,0.8,10.1
2025-09-18,2025-09-27,"Alerta media",2.3,13.1,0.8,10.1
2025-09-18,2025-09-27,"Alerta alta",0.5,13.1,0.8,10.1
2025-09-28,2025-10-07,"Normal",59.8,10.5,14.9,39.3
2025-09-28,2025-10-07,"Alerta baja",22.2,10.5,14.9,39.3
2025-09-28,2025-10-07,"Alerta media",11.4,10.5,14.9,39.3
2025-09-28,2025-10-07,"Alerta alta",6.6,10.5,14.9,39.3
2025-10-08,2025-10-17,"Normal",53.8,11.4,6.8,40.6
2025-10-08,2025-10-17,"Alerta baja",35,11.4,6.8,40.6
2025-10-08,2025-10-17,"Alerta media",9.9,11.4,6.8,40.6
2025-10-08,2025-10-17,"Alerta alta",1.3,11.4,6.8,40.6
2025-10-18,2025-10-27,"Normal",49.8,11.5,18.5,47.6
2025-10-18,2025-10-27,"Alerta baja",28.8,11.5,18.5,47.6
2025-10-18,2025-10-27,"Alerta media",15.3,11.5,18.5,47.6
2025-10-18,2025-10-27,"Alerta alta",6.1,11.5,18.5,47.6
2025-10-28,2025-11-06,"Normal",77.2,11.9,2.9,16
2025-10-28,2025-11-06,"Alerta baja",16,11.9,2.9,16
2025-10-28,2025-11-06,"Alerta media",5.5,11.9,2.9,16
2025-10-28,2025-11-06,"Alerta alta",1.3,11.9,2.9,16
2025-11-07,2025-11-16,"Normal",53,12.3,19.5,46.8
2025-11-07,2025-11-16,"Alerta baja",24.5,12.3,19.5,46.8
2025-11-07,2025-11-16,"Alerta media",13.2,12.3,19.5,46.8
2025-11-07,2025-11-16,"Alerta alta",9.2,12.3,19.5,46.8
2025-11-17,2025-11-26,"Normal",78.7,10.1,4.2,14.1
2025-11-17,2025-11-26,"Alerta baja",15.7,10.1,4.2,14.1
2025-11-17,2025-11-26,"Alerta media",4,10.1,4.2,14.1
2025-11-17,2025-11-26,"Alerta alta",1.6,10.1,4.2,14.1
2025-11-27,2025-12-06,"Normal",26.1,12.5,30.8,73.9
2025-11-27,2025-12-06,"Alerta baja",42.5,12.5,30.8,73.9
2025-11-27,2025-12-06,"Alerta media",19.5,12.5,30.8,73.9
2025-11-27,2025-12-06,"Alerta alta",11.9,12.5,30.8,73.9
2025-12-07,2025-12-16,"Normal",71.2,14.1,14.7,28.2
2025-12-07,2025-12-16,"Alerta baja",11.4,14.1,14.7,28.2
2025-12-07,2025-12-16,"Alerta media",6.5,14.1,14.7,28.2
2025-12-07,2025-12-16,"Alerta alta",10.9,14.1,14.7,28.2
