"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_secos","pct_area_cond_hr"
2025-01-01,2025-01-10,"Normal",32,62.9,1.2,6.1
2025-01-01,2025-01-10,"Alerta baja",5,62.9,1.2,6.1
2025-01-01,2025-01-10,"Alerta media",62.9,62.9,1.2,6.1
2025-01-01,2025-01-10,"Alerta alta",0,62.9,1.2,6.1
2025-01-11,2025-01-20,"Normal",29.4,63.5,4.5,7.7
2025-01-11,2025-01-20,"Alerta baja",6.2,63.5,4.5,7.7
2025-01-11,2025-01-20,"Alerta media",64.4,63.5,4.5,7.7
2025-01-11,2025-01-20,"Alerta alta",0,63.5,4.5,7.7
2025-01-21,2025-01-30,"Normal",31.1,64.1,0,7.2
2025-01-21,2025-01-30,"Alerta baja",4.8,64.1,0,7.2
2025-01-21,2025-01-30,"Alerta media",64.1,64.1,0,7.2
2025-01-31,2025-02-09,"Normal",12.2,65.3,17.7,24.5
2025-01-31,2025-02-09,"Alerta baja",10.6,65.3,17.7,24.5
2025-01-31,2025-02-09,"Alerta media",76.7,65.3,17.7,24.5
2025-01-31,2025-02-09,"Alerta alta",0.5,65.3,17.7,24.5
2025-02-10,2025-02-19,"Normal",27,64,0,12
2025-02-10,2025-02-19,"Alerta baja",9,64,0,12
2025-02-10,2025-02-19,"Alerta media",64,64,0,12
2025-02-20,2025-03-01,"Normal",22.8,65,0,16.2
2025-02-20,2025-03-01,"Alerta baja",12.2,65,0,16.2
2025-02-20,2025-03-01,"Alerta media",65,65,0,16.2
2025-03-02,2025-03-11,"Normal",39.6,60.1,0,1.9
2025-03-02,2025-03-11,"Alerta baja",0.3,60.1,0,1.9
2025-03-02,2025-03-11,"Alerta media",60.1,60.1,0,1.9
2025-03-12,2025-03-21,"Normal",35.6,59.1,4.4,3
2025-03-12,2025-03-21,"Alerta baja",3.5,59.1,4.4,3
2025-03-12,2025-03-21,"Alerta media",60.9,59.1,4.4,3
2025-03-22,2025-03-31,"Normal",30.2,60.3,8,8.7
2025-03-22,2025-03-31,"Alerta baja",2.7,60.3,8,8.7
2025-03-22,2025-03-31,"Alerta media",67.2,60.3,8,8.7
2025-04-01,2025-04-10,"Normal",23.1,50.5,52.4,8.1
2025-04-01,2025-04-10,"Alerta baja",23.6,50.5,52.4,8.1
2025-04-01,2025-04-10,"Alerta media",53.3,50.5,52.4,8.1
2025-04-11,2025-04-20,"Normal",19.4,59,17.8,10.8
2025-04-11,2025-04-20,"Alerta baja",15.3,59,17.8,10.8
