"periodo_inicio","periodo_fin","categoria","pct_area","pct_area_cond_t","pct_area_cond_precip","pct_area_cond_hr"
2025-01-01,2025-01-07,"Alerta baja",10.6,89.1,100,2.9
2025-01-01,2025-01-07,"Alerta media",86.8,89.1,100,2.9
2025-01-01,2025-01-07,"Alerta alta",2.6,89.1,100,2.9
2025-01-08,2025-01-14,"Normal",4.3,83.7,39.4,1.2
2025-01-08,2025-01-14,"Alerta baja",67.7,83.7,39.4,1.2
2025-01-08,2025-01-14,"Alerta media",27.4,83.7,39.4,1.2
2025-01-08,2025-01-14,"Alerta alta",0.6,83.7,39.4,1.2
2025-01-15,2025-01-21,"Normal",14.8,82,68.5,0
2025-01-15,2025-01-21,"Alerta baja",19.9,82,68.5,0
2025-01-15,2025-01-21,"Alerta media",65.3,82,68.5,0
2025-01-22,2025-01-28,"Normal",0.1,92.3,94.8,0
2025-01-22,2025-01-28,"Alerta baja",12.7,92.3,94.8,0
2025-01-22,2025-01-28,"Alerta media",87.2,92.3,94.8,0
2025-01-22,2025-01-28,"Alerta alta",0,92.3,94.8,0
2025-01-29,2025-02-04,"Normal",4.6,89.9,73.5,0
2025-01-29,2025-02-04,"Alerta baja",27.3,89.9,73.5,0
2025-01-29,2025-02-04,"Alerta media",68.1,89.9,73.5,0
2025-02-05,2025-02-11,"Normal",10.9,89.1,22.1,0
2025-02-05,2025-02-11,"Alerta baja",67.1,89.1,22.1,0
2025-02-05,2025-02-11,"Alerta media",22,89.1,22.1,0
2025-02-05,2025-02-11,"Alerta alta",0,89.1,22.1,0
2025-02-12,2025-02-18,"Alerta baja",10.7,91,98.3,1.1
2025-02-12,2025-02-18,"Alerta media",88.2,91,98.3,1.1
2025-02-12,2025-02-18,"Alerta alta",1.1,91,98.3,1.1
2025-02-19,2025-02-25,"Normal",7,92.3,39.9,0
2025-02-19,2025-02-25,"Alerta baja",53.8,92.3,39.9,0
2025-02-19,2025-02-25,"Alerta media",39.2,92.3,39.9,0
2025-02-26,2025-03-04,"Alerta baja",12.6,87.5,99.9,2.4
2025-02-26,2025-03-04,"Alerta media",85.1,87.5,99.9,2.4
2025-02-26,2025-03-04,"Alerta alta",2.4,87.5,99.9,2.4
2025-03-05,2025-03-11,"Alerta baja",19.6,79.7,99.8,7.5
2025-03-05,2025-03-11,"Alerta media",73.7,79.7,99.8,7.5
2025-03-05,2025-03-11,"Alerta alta",6.7,79.7,99.8,7.5
2025-03-12,2025-03-18,"Normal",0,80.5,98.4,27.4
2025-03-12,2025-03-18,"Alerta baja",21,80.5,98.4,27.4
2025-03-12,2025-03-18,"Alerta media",51.6,80.5,98.4,27.4
2025-03-12,2025-03-18,"Alerta alta",27.4,80.5,98.4,27.4
2025-03-19,2025-03-25,"Normal",5.3,91,49.4,5.4
2025-03-19,2025-03-25,"Alerta baja",47.5,91,49.4,5.4
2025-03-19,2025-03-25,"Alerta media",43.3,91,49.4,5.4
2025-03-19,2025-03-25,"Alerta alta",3.9,91,49.4,5.4
2025-03-26,2025-04-01,"Normal",5.6,90.6,60.3,5.3
2025-03-26,2025-04-01,"Alerta baja",37.9,90.6,60.3,5.3
2025-03-26,2025-04-01,"Alerta media",51.2,90.6,60.3,5.3
2025-03-26,2025-04-01,"Alerta alta",5.3,90.6,60.3,5.3
2025-04-02,2025-04-08,"Normal",5.3,85.6,60.3,1.1
2025-04-02,2025-04-08,"Alerta baja",43.3,85.6,60.3,1.1
